Number,Read,Write,RWRatio
10050000,2530,1678,60:40
10050001,2206,1687,56:44
10050002,2347,1356,63:37
10050003,2217,1364,61:39
10050004,2655,1548,63:37
10050005,2013,1001,66:34
10050006,2408,1720,58:42
10050007,2375,1296,64:36
10050008,2398,1861,56:44
10050009,2074,1112,65:35
10050010,2077,1355,60:40
10050011,2251,1023,68:32
10050012,2556,1706,59:41
10050013,2244,1401,61:39
10050014,2441,1842,56:44
10050015,2198,1151,65:35
10050016,2069,1361,60:40
10050017,0,0,0
10050018,2651,1540,63:37
10050019,2384,1553,60:40
10050020,2358,1537,60:40
10050021,2551,1866,57:43
10050022,2276,1263,64:36
10050023,2378,1494,61:39
10050024,2351,1489,61:39
10050025,2176,1705,56:44
10050026,2269,1248,64:36
10050027,2425,1525,61:39
10050028,2302,1588,59:41
10050029,2302,1695,57:43
10050030,2790,1697,62:38
10050031,2458,1435,63:37
10050032,2522,1429,63:37
10050033,2349,1488,61:39
10050034,2352,1579,59:41
10050035,2228,1561,58:42
10050036,2265,1453,60:40
10050037,2713,1581,63:37
10050038,2337,1439,61:39
10050039,2609,1244,67:33
10050040,2461,1909,56:44
10050041,2723,2140,55:45
10050042,2459,1469,62:38
10050043,3066,1580,65:35
10050044,0,0,0
10050045,2543,1553,62:38
10050046,2329,1462,61:39
10050047,2678,2175,55:45
10050048,2922,1369,68:32
10050049,2102,1537,57:43
10050050,2258,1212,65:35
10050051,2576,1610,61:39
10050052,2048,910,69:31
10050053,2589,1993,56:44
10050054,2523,1528,62:38
10050055,2290,1782,56:44
10050056,2420,1486,61:39
10050057,2273,1329,63:37
10050058,0,0,0
10050059,2567,1908,57:43
10050060,2103,1162,64:36
10050061,2219,1405,61:39
10050062,0,0,0
10050063,2272,1296,63:37
10050064,2292,1252,64:36
10050065,2316,1348,63:37
10050066,2734,1626,62:38
10050067,2611,1635,61:39
10050068,2607,2053,55:45
10050069,2450,1390,63:37
10050070,2431,1464,62:38
10050071,0,0,0
10050072,2155,1018,67:33
10050073,2207,1355,61:39
10050074,2900,1637,63:37
10050075,2157,1523,58:42
10050076,2377,1883,55:45
10050077,2578,1704,60:40
10050078,2326,1368,62:38
10050079,2231,1336,62:38
10050080,2474,1663,59:41
10050081,2288,1360,62:38
10050082,1455,1543,48:52
